====== GPT-2 Fine-Tuning Log ======

Step	Epoch	Metrics
1220	0.8226567768037761	{'loss': 3.184, 'grad_norm': 10.981583595275879, 'learning_rate': 8.35603506405934e-06, 'epoch': 0.8226567768037761}
1230	0.8293998651382333	{'loss': 3.2102, 'grad_norm': 8.28428840637207, 'learning_rate': 8.342548887390426e-06, 'epoch': 0.8293998651382333}
1240	0.8361429534726905	{'loss': 3.2144, 'grad_norm': 7.57454252243042, 'learning_rate': 8.329062710721511e-06, 'epoch': 0.8361429534726905}
1250	0.8428860418071477	{'loss': 3.1226, 'grad_norm': 8.042229652404785, 'learning_rate': 8.315576534052596e-06, 'epoch': 0.8428860418071477}
1260	0.8496291301416049	{'loss': 3.1903, 'grad_norm': 7.76755952835083, 'learning_rate': 8.302090357383682e-06, 'epoch': 0.8496291301416049}
1270	0.856372218476062	{'loss': 3.2011, 'grad_norm': 8.913918495178223, 'learning_rate': 8.288604180714767e-06, 'epoch': 0.856372218476062}
1280	0.8631153068105192	{'loss': 3.1242, 'grad_norm': 10.60283374786377, 'learning_rate': 8.275118004045854e-06, 'epoch': 0.8631153068105192}
1290	0.8698583951449764	{'loss': 3.0175, 'grad_norm': 9.221304893493652, 'learning_rate': 8.261631827376938e-06, 'epoch': 0.8698583951449764}
1300	0.8766014834794336	{'loss': 3.0688, 'grad_norm': 11.955451011657715, 'learning_rate': 8.248145650708025e-06, 'epoch': 0.8766014834794336}
1310	0.8833445718138908	{'loss': 3.1633, 'grad_norm': 9.10190200805664, 'learning_rate': 8.234659474039111e-06, 'epoch': 0.8833445718138908}
1320	0.890087660148348	{'loss': 3.0967, 'grad_norm': 9.20456600189209, 'learning_rate': 8.221173297370196e-06, 'epoch': 0.890087660148348}
1330	0.8968307484828051	{'loss': 3.1709, 'grad_norm': 7.223043441772461, 'learning_rate': 8.207687120701282e-06, 'epoch': 0.8968307484828051}
1340	0.9035738368172623	{'loss': 3.1468, 'grad_norm': 8.680246353149414, 'learning_rate': 8.194200944032367e-06, 'epoch': 0.9035738368172623}
1350	0.9103169251517195	{'loss': 3.1433, 'grad_norm': 9.833449363708496, 'learning_rate': 8.180714767363454e-06, 'epoch': 0.9103169251517195}
1360	0.9170600134861767	{'loss': 3.1319, 'grad_norm': 8.892643928527832, 'learning_rate': 8.16722859069454e-06, 'epoch': 0.9170600134861767}
1370	0.9238031018206339	{'loss': 3.1313, 'grad_norm': 8.751185417175293, 'learning_rate': 8.153742414025625e-06, 'epoch': 0.9238031018206339}
1380	0.930546190155091	{'loss': 3.0309, 'grad_norm': 9.42734432220459, 'learning_rate': 8.14025623735671e-06, 'epoch': 0.930546190155091}
1390	0.9372892784895482	{'loss': 2.9971, 'grad_norm': 9.37325382232666, 'learning_rate': 8.126770060687796e-06, 'epoch': 0.9372892784895482}
1400	0.9440323668240054	{'loss': 3.208, 'grad_norm': 9.344215393066406, 'learning_rate': 8.11328388401888e-06, 'epoch': 0.9440323668240054}
1410	0.9507754551584626	{'loss': 3.1102, 'grad_norm': 8.978928565979004, 'learning_rate': 8.099797707349967e-06, 'epoch': 0.9507754551584626}
1420	0.9575185434929198	{'loss': 3.3191, 'grad_norm': 9.651084899902344, 'learning_rate': 8.086311530681052e-06, 'epoch': 0.9575185434929198}
1430	0.9642616318273769	{'loss': 2.9663, 'grad_norm': 9.106535911560059, 'learning_rate': 8.072825354012138e-06, 'epoch': 0.9642616318273769}
1440	0.9710047201618341	{'loss': 3.07, 'grad_norm': 9.05421257019043, 'learning_rate': 8.059339177343225e-06, 'epoch': 0.9710047201618341}
1450	0.9777478084962913	{'loss': 3.1485, 'grad_norm': 8.648127555847168, 'learning_rate': 8.04585300067431e-06, 'epoch': 0.9777478084962913}
1460	0.9844908968307485	{'loss': 3.0821, 'grad_norm': 7.91251802444458, 'learning_rate': 8.032366824005396e-06, 'epoch': 0.9844908968307485}
1470	0.9912339851652057	{'loss': 3.1855, 'grad_norm': 9.135135650634766, 'learning_rate': 8.01888064733648e-06, 'epoch': 0.9912339851652057}
1480	0.9979770734996628	{'loss': 3.152, 'grad_norm': 8.614700317382812, 'learning_rate': 8.005394470667567e-06, 'epoch': 0.9979770734996628}
1490	1.00472016183412	{'loss': 3.1207, 'grad_norm': 10.012687683105469, 'learning_rate': 7.991908293998652e-06, 'epoch': 1.00472016183412}
1500	1.0114632501685772	{'loss': 2.9906, 'grad_norm': 8.572205543518066, 'learning_rate': 7.978422117329737e-06, 'epoch': 1.0114632501685772}
1510	1.0182063385030344	{'loss': 2.9845, 'grad_norm': 7.548703193664551, 'learning_rate': 7.964935940660823e-06, 'epoch': 1.0182063385030344}
1520	1.0249494268374915	{'loss': 3.1183, 'grad_norm': 8.627984046936035, 'learning_rate': 7.951449763991908e-06, 'epoch': 1.0249494268374915}
